Word,Count
*,15503
,5354
the,5334
echo,2618
?>,2134
@param,1997
to,1925
@var,1718
string,1633
a,1425
is,1264
of,1208
for,1035
@return,1003
be,897
model,896
array,834
and,717
this,681
in,552
<?php,508
/>,498
$this,497
<br,495
<b><?php,495
?>:</b>,495
$model,480
will,466
with,442
file,439
data,416
if,406
This,400
that,382
The,363
If,338
@see,337
an,326
attributes,323
not,312
class,309
all,295
integer,292
generated,288
HTML,278
on,277
{@link,276
@require,275
Corbyn,270
Chris,269
page,267
validation,264
by,260
control,253
or,251
AJAX,248
code,244
@package,242
widget,242
$id,239
$htmlOptions,239
ID,236
default,233
@author,232
\$form->error($model,\,231
\$form->labelEx($model,\,230
Generates,225
input,225
used,224
attribute,222
action,218
For,217
new,216
method,213
browser,212
allow,210
button,202
perform,202
additional,199
view,198
name,194
Copyright,191
(c),190
*###,190
value,188
int,187
we,186
field,182
Get,182
-,180
=>,180
user,179
access,176
as,174
are,174
group,173
was,169
following,169
deletion,168
actions,168
Renders,164
from,163
text,163
should,162
Swift,161
redirected,160
you,160
particular,159
list,159
\successful,\,159
distributed,157
it,154
content,153
$name,153
given,153
*##,152
See,152
source,149
full,149
request,149
set,148
models,148
options,147
line,147
needed,147
Returns,146
part,145
license,145
LICENSE,145
'view',144
Bootstrap,144
ajax,143
rules,143
please,143
copyright,141
boolean,141
SwiftMailer,140
using,139
\information,\,139
layout,138
2004-2009,135
mixed,134
values,132
via,131
when,130
controller,129
$form,129
any,125
Set,123
rendered,122
under,121
which,121
$data,121
Uncomment,120
$this->performAjaxValidation($model);,120
@subpackage,119
Defaults,117
Please,117
users,117
@property,115
loaded,113
@throws,113
use,112
form,110
License,108
documentation,107
booster.widgets.TbActiveForm,104
see,104
only,103
InternshipPosition,102
admin,101
'admin',100
@access,99
may,98
can,97
filter,96
stream,94
Displays,93
redirect,92
have,91
InternshipPositionController,91
$options,90
Create,90
type,89
Creates,88
Student,87
based,86
$attribute,84
whether,83
header,83
call,82
CModel,82
make,82
displayed,82
message,80
key,80
RequestInternship,79
grid,78
CSS,78
CActiveForm,77
@license,76
BSD,74
@copyright,74
label,74
tag,74
update,73
private,73
renders,73
A,72
check,72
Professor,72
Header,71
Company,70
buttons,70
string[],70
number,69
&copy;,69
CompanyController,68
RequestInternshipController,67
bytes,67
Users,67
element,67
details,67
sure,66
Christoffer,66
column,66
meaning,66
Niska,66
has,65
CActiveDataProvider,65
StudentController,65
enable,64
link,64
Transport,64
clear,64
display,63
ProfessorController,63
at,63
exception,63
raised,63
@since,63
CHttpException,62
filters,62
menu,62
correctly,62
variable,61
When,61
primary,61
$nsKey,61
operations,61
address,60
'index',60
=,59
corresponding,59
views,59
POST,59
MIT,58
authenticated,58
more,58
$value,58
required,58
updated,58
\found,\,58
commented,57
\validation,\,57
function,57
entity,57
CRUD,57
property,57
deny,56
'create',56
There,56
Specifies,56
instance,56
GET,56
'protected/views/layouts/column2.php',56
Lists,56
UsersController,56
'accessControl',56
Deletes,56
\'//layouts/column2',\,56
deleted,56
Manages,56
two-column,56
HTTP,56
handling,56
(triggered,56
\view),\,56
'update',56
note:,55
layouts/column2Admin';,55
argument,55
performAjaxValidation(),54
$dataProvider,54
jQuery,54
parameters,54
$itemKey,53
out,53
validated,53
SiteController,52
Updates,52
image,51
$form->errorSummary($model);,51
true,51
item,50
configuration,50
methods,50
Performs,50
creation,50
body,49
wrapper,49
container,49
here,48
optional,47
All,47
object,47
no,47
[New,46
License](http://www.opensource.org/licenses/bsd-license.php),46
into,45
information,45
Licensed,45
UI,45
current,45
'delete',44
first,44
before,44
row,43
return,43
<antonio@clevertech.biz>,43
plugin,43
--,42
radio,42
--------------------------------------------------,42
styles,42
login,42
about,42
bool,41
2,41
need,41
event,41
},41
sent,40
$label,40
dropdown,40
so,39
valid,39
types,39
Version,39
they,39
Message,38
indicates,38
rights,38
Mime,38
Frederico,38
reserved,38
CKSource,38
\licensing,\,38
Knabben,38
//,37
contact,37
size,37
table,37
http://ckeditor.com/license,36
array(,36
\2003-2013,\,36
LICENSE.md,36
character,36
Initializes,36
one,36
box,36
About,36
textFieldGroup,36
parameter,36
called,36
must,36
Group,36
bootstrap,36
detailed,35
TbActiveForm},35
picker,35
passed,35
email,34
items,34
It,34
customFieldGroup},34
Select2,34
render,34
customFieldGroup,34
antonio,34
ramirez,34
headers,34
associated,33
Dual,33
recipients,33
x-editable,33
get,33
GPL,33
cell,33
licensed,33
false,33
support,32
$widgetOptions,32
========================================================================,32
URL,32
<ChristofferNiska@gmail.com>,32
created,32
$message,32
licenses,32
You,32
icon,31
addresses,31
module,31
$charset,31
$evt,31
.init(),31
$is,31
buffer,31
registry,31
Add,31
being,31
change,30
Select2's,30
'password');,30
response,30
script,30
2012-,30
protected,30
names,30
invoked,29
'username');,29
server,29
1,29
characters,29
@abstract,29
toggle,28
AUTHORS.txt,28
'last_name');,28
available,28
{,28
http://www.opensource.org/licenses/bsd-license.php,28
remove,28
:,28
@author:,28
New,28
.run(),28
collect,28
date,28
http://jquery.org/license,28
'first_name');,28
$source,28
'email');,28
Declares,28
'telephone');,28
(http://jqueryui.com/about),28
editor,28
Apache,28
Not,27
inline,27
Invoked,27
write,27
Clevertech,27
cache,27
editable,27
after,27
NOTE:,27
Swift_InputByteStream,27
Swift_Transport,26
$length,26
charset,26
its,26
written,26
Runs,26
'activated');,26
read,26
internal,26
2012,26
than,26
An,26
2011-,26
immediately,25
elements,25
template,25
where,25
inputs,25
Registers,25
TbActiveForm,24
To,24
returns,24
bar,24
color,24
Mailer,24
add,24
http://www.apache.org/licenses/LICENSE-2.0,24
borders,24
specified,24
Private,24
IE7,24
application,24
Javascript,24
requested,24
multiple,24
null,24
3,24
summary,24
RFC,24
but,24
register,23
generating,23
just,23
end,23
$string,23
each,23
die();,23
how,23
files,23
place,22
fields,22
instead,22
Name,22
customized,22
option,22
MIME,22
password,22
$address,22
rendering,22
$row,22
$addresses,22
your,22
namespace,22
initial,22
previous,22
path,22
won't,21
<pre>,21
classes,21
selected,21
stored,21
pointer,21
inside,21
order,21
command,21
specific,21
encoding,21
handlers,21
send,21
</pre>,21
alert,21
Property,21
always,21
either,21
pager,21
through,21
url,21
\InternshipPosition',\,21
connection,20
Twitter,20
List,20
progress,20
|,20
Additional,20
@todo,20
Send,20
database,20
Logs,20
other,20
$encoder,20
handle,20
v2.0,20
\string,\,20
validate,20
does,20
mode,20
custom,20
$contentType,19
TbHtml::activeControlGroup,19
Adjust,19
Encoder,19
already,19
ByteStream,19
KeyCache,19
CAPTCHA,19
up,19
javascript,19
error,19
Class,19
captcha,19
case,19
these,19
initialization,19
implementation,19
exists,19
Swift_Mime_Message,19
same,19
changed,19
means,19
client,18
pane,18
Whether,18
----------------------------------,18
language,18
resizer,18
id,18
errors,18
\),\,18
work,18
needs,18
maxlength,18
(value=>display),18
single,18
Register,18
been,18
$text,18
\2011,\,18
without,18
component,18
pages,18
JavaScript,18
ContactForm,18
SMTP,18
CException,18
open,18
'date_start');,18
We,18
width,18
encode,17
sending,17
Value),17
could,17
(Property,17
result,17
),17
'protected/views/site/index.php',17
'protected/views/layouts/main.php',17
want,17
TbHtml::controlGroup,17
level,17
$bytes,17
(e.g,17
IE,17
height,17
disabled,17
external,17
js,17
output,17
They,17
\$form->labelEx($model,'description');\,17
accessed,17
some,17
\$form->error($model,'description');\,17
log,17
'protected/views/site/pages',16
$items,16
recipient,16
booster.widgets.forms.inputs,16
index.php?r=site/page&view=FileName,16
\$form->labelEx($model,'email');\,16
class-based,16
Events,16
..,16
generate,16
time,16
modify,16
start,16
there,16
\"\static"\\,16
css,16
explicitly,16
active,16
Note,16
according,16
Default,16
$select,16
components,16
\$form->error($model,'password');\,16
via:,16
\$form->labelEx($model,'username');\,16
homepage,16
exceptions,16
1.8.16,16
Font,16
Remove,16
