File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\admin.php,foreach($this->tableSchema->columns as $column),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\templates\default\_view.php,foreach($this->tableSchema->columns as $column),9,9,7,2,0,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\gii\bootstrap\views\index.php,function(),8,8,7,2,0,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\widgets\TbEditable.php,registerJQueryUI(),7,7,6,1,0,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\widgets\TbGridView.php,initColumns(),12,10,7,2,2,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\widgets\TbGridView.php,createDataColumn($text),20,16,10,4,4,0,0,0,
C:\wamp\www\internship\protected\extensions\booster\widgets\TbGridView.php,writeResponsiveCss(),61,45,45,0,7,0,9,44,
C:\wamp\www\internship\protected\modules\Admin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\_viewRequests.php,foreach($r as $i),14,8,2,1,6,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\Admin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eetfAdmin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\eledAdmin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\envengAdmin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\icteAdmin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\student\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\mechAdmin\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\ProfessorAdmin\views\default\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\ProfessorAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\StudentAdmin\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\StudentAdmin\views\default\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\StudentAdmin\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\modules\StudentAdmin\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\runtime\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\views\company\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\views\internshipPosition\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\views\professor\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\views\requestInternship\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
C:\wamp\www\internship\protected\views\users\admin.php,form').submit(function(),5,5,4,1,0,0,0,0,
