Word,Count
*,193
the,154
to,63
,61
model,60
be,46
is,41
@param,25
AJAX,21
ID,20
allow,20
$id,20
a,20
all,20
integer,20
will,20
perform,20
page,20
browser,20
of,20
If,20
if,18
and,17
validation,17
actions,16
\successful,\,15
redirected,15
@return,15
control,15
'view',15
particular,15
deletion,15
access,15
user,13
default,13
layout,12
needed,11
line,11
request,11
following,11
Uncomment,11
not,11
data,11
users,11
by,11
$this->performAjaxValidation($model);,11
for,10
admin,10
array,10
rules,10
'admin',10
loaded,10
we,10
via,10
models,10
action,10
using,7
This,7
Displays,7
redirect,7
an,6
'index',6
displayed,6
on,6
\found,\,5
Updates,5
\'//layouts/column2',\,5
'create',5
views,5
(triggered,5
'protected/views/layouts/column2.php',5
Returns,5
Performs,5
validated,5
GET,5
Creates,5
creation,5
only,5
variable,5
Lists,5
filter,5
HTTP,5
operations,5
any,5
\view),\,5
'delete',5
updated,5
update,5
deleted,5
used,5
raised,5
deny,5
based,5
values,5
@throws,5
clear,5
Specifies,5
Manages,5
filters,5
exception,5
See,5
in,5
should,5
@var,5
layouts/column2';,5
method,5
given,5
POST,5
'update',5
$model,5
'accessControl',5
string,5
authenticated,5
primary,5
CHttpException,5
Defaults,5
CRUD,5
meaning,5
new,5
grid,5
Deletes,5
key,5
two-column,5
renders,4
'protected/views/site/index.php',2
InternshipPosition,2
view,2
login,2
Users,2
Professor,2
file,2
Company,2
contact,2
RequestInternship,2
input,2
'protected/views/layouts/main.php',2
that,1
external,1
index.php?r=site/page&view=FileName,1
collect,1
can,1
explicitly,1
class-based,1
'protected/views/site/pages',1
it,1
display,1
requested,1
invoked,1
captcha,1
via:,1
\"\static"\\,1
previous,1
They,1
layouts/main';,1
homepage,1
Declares,1
stored,1
image,1
under,1
CAPTCHA,1
when,1
current,1
handle,1
exceptions,1
validate,1
out,1
accessed,1
ajax,1
form,1
pages,1
Logs,1
valid,1
$this->redirect(Yii::app()->user->returnUrl);,1
