Word,Count
*,358
the,133
@property,106
,71
string,69
to,43
model,43
that,38
@return,37
class,36
is,32
integer,32
for,30
data,30
name,29
in,27
should,26
attributes,26
rules,25
be,25
Please,20
The,20
of,19
not,19
are,19
table,18
-,18
array,18
models,18
you,18
attribute,17
and,16
a,16
following,15
remove,14
searched,14
@todo,14
this,13
by,13
used,13
Declares,12
fields,12
static,12
available,12
followings,12
labels,12
will,12
based,12
CActiveDataProvider,12
those,12
provider,12
NOTE:,12
filter,12
form,12
on,12
validation,12
conditions,12
method,12
search/filter,12
have,11
with,11
customized,11
user,10
modify,8
email,8
code,8
ContactForm,8
:,8
search(),7
needs,7
rule,7
This,7
required,6
CActiveRecord,6
Returns,6
need,6
note,6
below,6
database,6
$className,6
active,6
Typical,6
record,6
relations,6
relational,6
exact,6
(name=>label),6
inputs,6
Execute,6
descendants,6
usecase:,6
from,6
may,6
values,6
\CGridView,\,6
$id,6
only,6
declared,6
relation,6
action,6
define,6
or,6
your,6
adjust,6
Retrieves,6
CListView,6
instance,6
relations:,6
any,6
according,6
It,6
specified,6
all,6
which,6
get,6
current,6
receive,6
associated,6
AR,6
list,6
automatically,6
structure,6
can,6
related,6
keeping,6
as,6
return,6
columns,6
@param,6
Initialize,6
'SiteController',6
similar,6
generated,6
widget,6
password,6
Pass,6
\here,\,5
first,5
body,5
would,5
letter,5
upper,5
If,5
label,5
an,5
case,5
\name,\,5
same,5
its,5
subject,5
\email,\,5
has,4
'a',4
'contact',4
echo,4
address,4
$a==1,4
correctly,4
verifyCode,4
entered,4
'c';,4
'b'),4
Users,4
($b==2,4
contact,4
valid,4
LoginForm,4
login,3
=>,3
username,3
InternshipPosition[],3
\'captcha',\,3
Student,3
\array('verifyCode',\,3
$user,3
//,3
$internshipPositions,3
$user_id,3
Company,2
'login',2
$requestInternships,2
RequestInternship[],2
$status,2
Professor,2
\'allowEmpty'=>!CCaptcha::checkRequirements()),\,2
InternshipPosition,2
var_dump($this->file_grades);,2
authenticated,2
$student,2
$description,2
die();,2
$department,2
var_dump($_FILES);,2
boolean,2
$student_id,2
$aem,1
'authenticate',1
$username,1
\array('activated',\,1
\'numerical',\,1
$status_submit_professor,1
\"\student"\\,1
rememberMe,1
choose,1
var_dump($this->order_ids);,1
\,\,1
30,1
$title4,1
$last_name,1
$birth_day,1
change,1
var_dump($m->id);,1
$password,1
$date_start,1
date('y').'-04-01');,1
$status_submit_company,1
given,1
$month_current=date('n');,1
\array('email,username,password,first_name,last_name,father_name,'\,1
$act_code,1
Templates,1
$internshipPosition,1
var_dump($m->order);,1
'allowEmpty',1
$counter_requests;,1
$co_notes3,1
$academicid,1
$st_notes1,1
$title5,1
var_dump(date('y').'-04-01');,1
Professor[],1
$title,1
var_dump($date_current,1
Description,1
'professor':,1
\"\users"\\,1
$title3,1
$co_text2,1
var_dump($date_current);,1
\//arraY('address,identity_number,afm,doy,amka,ama_ika,file_ika,department,aem,year_in,email,telephone,academicid,file_grades_name,file_cv_name,IBAN'\,1
$afm,1
$status_submit_student,1
$companies,1
template,1
\array('aem','unsafe',),\,1
$amka,1
$company_id,1
$co_notes2,1
\true),\,1
$code4,1
'request_internship':,1
$type,1
$title2,1
$st_text1,1
$title1,1
$father_name,1
$file_ika,1
$co_text1,1
$co_absence1,1
\"\professor"\\,1
$professor,1
$code3,1
$code2,1
$st_text3,1
$gender,1
$professors,1
$st_notes3,1
$activated,1
public,1
$co_final_text,1
$prof_final_text,1
\"\request_internship"\\,1
\$this->users->last_name,\,1
$co_notes1,1
$published,1
$ama_ika,1
var_dump($this->file_cv);,1
'student':,1
$company,1
$file_cv_name,1
|,1
$st_text2,1
$st_absence1,1
$doy,1
\'email'),\,1
$first_name,1
Authenticates,1
>,1
\array('email',\,1
state,1
$grade,1
'company':,1
$telephone,1
$internship_position_id,1
$students,1
Company[],1
$st_final_notes,1
$co_absence3,1
successful,1
$file_grades_name,1
true);,1
\'mother_name,gender,birth_day,address,identity_number,'\,1
$date_request,1
using,1
'users':,1
To,1
$st_notes2,1
whether,1
open,1
\$criteria->compare('users.last_name',\,1
$co_absence2,1
$email,1
\'afm,doy,department,aem,telephone,activated',\,1
\"\company"\\,1
\"\internship_position"\\,1
$code1,1
'integerOnly',1
Student[],1
@author,1
$professor_id,1
validator,1
$co_text3,1
'captchaAction',1
RequestInternship,1
\!CCaptcha::checkRequirements()),\,1
Logs,1
$year,1
$date_end,1
$co_final_notes,1
double,1
$st_absence3,1
rules(),1
konapaz,1
$mother_name,1
$IBAN,1
$year_in,1
'internship_position':,1
$address,1
addCardForm,1
days,1
$st_absence2,1
Tools,1
'confirmValitator',1
\required,\,1
$code5,1
$identity_number,1
\template,\,1
editor,1
$brand,1
$st_final_text,1
\'required'),\,1
