File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\models\Company.php,128,61,28,8,16,0,51,286,0,0
C:\wamp\www\internship\protected\models\CompanyForm.php,83,60,23,2,6,0,17,90,0,0
C:\wamp\www\internship\protected\models\ContactForm.php,48,27,10,2,5,0,16,87,0,0
C:\wamp\www\internship\protected\models\ForgottenAccountForm.php,47,18,7,2,10,0,19,84,0,0
C:\wamp\www\internship\protected\models\InternshipPosition.php,411,269,169,21,48,0,94,465,0,0
C:\wamp\www\internship\protected\models\LoginForm.php,78,47,22,8,7,1,24,114,0,0
C:\wamp\www\internship\protected\models\OrderIRForm.php,43,24,15,1,11,0,8,30,0,0
C:\wamp\www\internship\protected\models\Professor.php,117,52,21,8,15,0,50,282,0,0
C:\wamp\www\internship\protected\models\ProfessorForm.php,71,49,16,2,5,0,17,90,0,0
C:\wamp\www\internship\protected\models\RequestInternship.php,144,68,32,6,15,0,61,321,0,0
C:\wamp\www\internship\protected\models\Student.php,238,128,72,19,38,0,72,355,0,0
C:\wamp\www\internship\protected\models\StudentForm.php,118,82,32,2,9,0,27,115,0,0
C:\wamp\www\internship\protected\models\Users.php,147,72,27,6,15,0,60,314,0,0
