File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\wamp\www\internship\protected\modules\Admin\AdminModule.php,29,20,7,3,4,0,5,45,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\CompanyController.php,241,139,83,15,45,7,57,324,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\DefaultController.php,111,73,33,8,10,1,28,126,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\InternshipPositionController.php,198,102,52,13,37,6,59,327,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\ProfessorController.php,207,119,61,13,36,7,52,305,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\RequestInternshipController.php,236,135,50,11,44,6,57,317,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\RequestsController.php,166,99,42,11,32,6,35,214,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\SiteController.php,165,103,54,15,31,1,31,137,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\StudentController.php,208,104,60,13,41,7,63,318,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers\UsersController.php,171,94,38,11,25,6,52,303,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\admin.php,52,41,11,2,8,0,3,9,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\index.php,22,15,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\view.php,42,34,2,0,6,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\viewRequests.php,28,18,4,0,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\_form.php,113,82,0,0,24,27,7,145,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\_search.php,40,28,0,0,9,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\_view.php,38,22,2,1,14,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company\_viewRequests.php,39,23,2,1,14,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\default\index.php,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\admin.php,88,44,11,2,8,0,36,41,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\award.php,58,32,2,0,19,0,7,50,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\view.php,148,94,17,4,51,0,3,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\_form.php,254,199,3,0,48,73,7,269,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\_search.php,210,164,0,0,43,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition\_view.php,168,28,0,0,14,2,126,319,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\admin.php,53,43,11,2,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\view.php,41,34,3,0,5,1,2,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\_form.php,93,62,0,0,24,19,7,107,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\_search.php,35,24,0,0,8,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor\_view.php,32,21,0,0,9,1,2,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\admin.php,67,44,11,2,10,0,13,18,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\create.php,18,12,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\index.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\update.php,21,15,2,0,4,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\view.php,53,37,9,0,11,0,5,21,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\viewInternshipPosition.php,148,91,17,4,54,0,3,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\viewInternshipPosition2.php,149,91,17,4,55,0,3,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\viewRequests.php,21,14,2,0,5,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\viewStudent.php,51,41,2,0,8,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\_form.php,81,50,3,0,24,10,7,79,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\_search.php,95,72,0,0,20,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\_view.php,70,22,0,0,14,2,34,89,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship\_viewRequests.php,46,29,3,1,15,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requests\all.php,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\contact.php,85,63,2,0,19,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\error.php,15,10,2,0,3,0,2,8,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\index.php,19,12,2,0,6,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\login.php,54,40,2,0,11,0,3,12,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\viewInternshipPosition.php,32,18,3,0,11,0,3,10,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\_viewInternshipPosition.php,25,14,0,0,9,0,2,6,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\pages\about.php,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\admin.php,75,44,11,2,13,0,18,23,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student\create.php,18,12,2,0,4,0,2,8,0,0
