Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,517,36559,23293,4443,940,6648,1903,6618,33485,0,0
C:\wamp\www\internship\protected\modules,517,36559,23293,4443,940,6648,1903,6618,33485,0,0
C:\wamp\www\internship\protected\modules\Admin,75,5539,3483,690,140,1152,255,904,4555,0,0
C:\wamp\www\internship\protected\modules\Admin\controllers,9,1703,968,473,110,301,47,434,2371,0,0
C:\wamp\www\internship\protected\modules\Admin\views,65,3807,2495,210,27,847,208,465,2139,0,0
C:\wamp\www\internship\protected\modules\Admin\views\company,10,413,290,27,4,96,27,27,222,0,0
C:\wamp\www\internship\protected\modules\Admin\views\default,1,17,14,1,0,2,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\internshipPosition,9,986,602,39,6,196,75,188,725,0,0
C:\wamp\www\internship\protected\modules\Admin\views\professor,8,314,225,20,2,67,21,22,171,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requestInternship,13,841,532,70,11,229,12,80,287,0,0
C:\wamp\www\internship\protected\modules\Admin\views\requests,1,4,2,0,0,2,0,0,0,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site,7,243,166,13,0,62,0,15,56,0,0
C:\wamp\www\internship\protected\modules\Admin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\Admin\views\student,8,596,391,21,2,123,48,82,437,0,0
C:\wamp\www\internship\protected\modules\Admin\views\users,8,393,273,19,2,70,25,50,237,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin,30,2072,1243,247,53,413,74,416,1809,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\controllers,3,546,304,161,41,94,14,148,802,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views,26,1497,919,79,9,315,60,263,962,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\default,10,443,297,20,2,88,24,58,290,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\internshipPosition,9,808,456,46,7,162,36,190,616,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site,7,246,166,13,0,65,0,15,56,0,0
C:\wamp\www\internship\protected\modules\CompanyAdmin\views\site\pages,1,13,9,2,0,3,0,1,4,0,0
C:\wamp\www\internship\protected\modules\ProfessorAdmin,27,1752,1024,218,49,358,23,370,1476,0,0
C:\wamp\www\internship\protected\modules\ProfessorAdmin\controllers,3,505,287,135,37,85,15,133,751,0,0
